Sequence number;Packet Number;RTT [ms]
923825;639;14.375000
925273;640;14.375000
926721;641;14.125000
928169;642;14.125000
929617;643;14.125000
931065;644;14.125000
932513;645;14.125000
933961;646;14.125000
935409;647;14.125000
936857;648;14.125000
938305;649;14.125000
939753;650;14.375000
941201;651;14.375000
942649;652;14.375000
944097;653;14.250000
945545;654;14.250000
946993;655;14.250000
948441;656;14.250000
949889;657;14.250000
951337;658;14.250000
952785;659;14.250000
954233;660;14.250000
955681;661;14.250000
957129;662;14.250000
958577;663;14.250000
960025;664;14.250000
961473;665;0
962921;666;0
964369;667;0
965817;668;0
967265;669;0
968713;670;14.125000
970161;671;14.250000
971609;672;14.250000
973057;673;14.250000
974505;674;14.250000
975953;675;14.250000
977401;676;14.250000
978849;677;14.125000
980297;678;14.125000
981745;679;14.125000
983193;680;14.125000
984641;681;14.125000
986089;682;14.125000
987537;683;14.125000
988985;684;14.125000
990433;685;14.125000
991881;686;14.250000
993329;687;14.250000
994777;688;14.250000
996225;689;14.125000
997673;690;14.125000
999121;691;14.125000
1000569;692;14.125000
1002017;693;14.125000
1003465;694;14.125000
1004913;695;14.125000
1006361;696;14.125000
1007809;697;14.125000
1009257;698;14.250000
1010705;699;14.250000
1012153;700;14.250000
1013601;701;14.250000
1015049;702;14.250000
1016497;703;14.250000
1017945;704;14.125000
1019393;705;14.125000
1020841;706;14.125000
1022289;707;14.125000
1023737;708;14.125000
1025185;709;14.125000
1026633;710;14.250000
1028081;711;14.250000
1029529;712;14.250000
1030977;713;14.241000
1032425;714;14.241000
1033873;715;14.241000
1035321;716;14.134000
1036769;717;14.134000
1038217;718;14.134000
1039665;719;14.125000
1041113;720;14.125000
1042561;721;14.125000
1044009;722;14.250000
1045457;723;14.250000
1046905;724;14.250000
1048353;725;14.250000
1049801;726;14.250000
1051249;727;14.250000
1052697;728;14.250000
1054145;729;14.250000
1055593;730;14.250000
1057041;731;14.250000
1058489;732;14.250000
1059937;733;14.250000
1061385;734;14.250000
1062833;735;14.250000
1064281;736;14.250000
1065729;737;0
1067177;738;0
1068625;739;0
1070073;740;0
1071521;741;0
1072969;742;14.250000
1074417;743;14.125000
1075865;744;14.125000
1077313;745;14.125000
1078761;746;14.250000
1080209;747;14.250000
1081657;748;14.250000
1083105;749;14.125000
1084553;750;14.125000
1086001;751;14.125000
1087449;752;14.250000
1088897;753;14.250000
1090345;754;14.250000
1091793;755;14.250000
1093241;756;14.250000
1094689;757;14.250000
1096137;758;14.250000
1097585;759;14.250000
1099033;760;14.250000
1100481;761;14.125000
1101929;762;14.125000
1103377;763;14.125000
1104825;764;14.250000
1106273;765;14.250000
1107721;766;14.250000
1109169;767;14.250000
1110617;768;14.250000
1112065;769;14.250000
1113513;770;14.125000
1114961;771;14.125000
1116409;772;14.125000
1117857;773;14.125000
1119305;774;14.125000
1120753;775;14.125000
1122201;776;14.250000
1123649;777;14.250000
1125097;778;14.250000
1126545;779;14.125000
1127993;780;14.125000
1129441;781;14.125000
1130889;782;14.250000
1132337;783;14.250000
1133785;784;14.250000
1135233;785;14.125000
1136681;786;14.125000
1138129;787;14.125000
1139577;788;14.250000
1141025;789;14.250000
1142473;790;14.250000
1143921;791;14.250000
1145369;792;14.250000
1146817;793;14.250000
1148265;794;14.125000
1149713;795;14.125000
1151161;796;14.125000
1152609;797;14.250000
1154057;798;14.250000
1155505;799;14.250000
1156953;800;13.625000
1158401;801;13.625000
1159849;802;13.625000
1161297;803;14.125000
1162745;804;14.125000
1164193;805;14.125000
1165641;806;14.125000
1167089;807;14.125000
1168537;808;14.125000
1169985;809;14.125000
1171433;810;14.125000
1172881;811;14.125000
1174329;812;14.125000
1175777;813;14.125000
1177225;814;14.125000
1178673;815;14.250000
1180121;816;14.250000
1181569;817;14.250000
1183017;818;0
1184465;819;0
1185913;820;0
1187361;821;0
1188809;822;0
1190257;823;14.125000
1191705;824;14.125000
1193153;825;14.125000
1194601;826;14.125000
1196049;827;14.250000
1197497;828;14.250000
1198945;829;14.250000
1200393;830;14.125000
1201841;831;14.125000
1203289;832;14.125000
1204737;833;14.250000
1206185;834;14.250000
1207633;835;14.250000
1209081;836;14.125000
1210529;837;14.125000
1211977;838;14.125000
1213425;839;14.250000
1214873;840;14.250000
1216321;841;14.250000
1217769;842;14.125000
1219217;843;14.125000
1220665;844;14.125000
1222113;845;14.250000
1223561;846;14.250000
1225009;847;14.250000
1226457;848;14.250000
1227905;849;14.250000
1229353;850;14.250000
1230801;851;14.250000
1232249;852;14.250000
1233697;853;14.250000
1235145;854;14.250000
1236593;855;14.250000
1238041;856;14.250000
1239489;857;14.250000
1240937;858;14.250000
1242385;859;14.250000
1243833;860;14.125000
1245281;861;14.125000
1246729;862;14.125000
1248177;863;14.250000
1249625;864;14.250000
1251073;865;14.250000
1252521;866;14.250000
1253969;867;14.250000
1255417;868;14.250000
1256865;869;14.125000
1258313;870;14.125000
1259761;871;14.125000
1261209;872;14.250000
1262657;873;14.250000
1264105;874;14.250000
1265553;875;14.250000
1267001;876;14.250000
1268449;877;14.250000
1269897;878;14.250000
1271345;879;14.250000
1272793;880;14.250000
1274241;881;14.375000
1275689;882;14.375000
1277137;883;14.375000
1278585;884;14.125000
1280033;885;14.125000
1281481;886;14.125000
1282929;887;14.250000
1284377;888;14.250000
1285825;889;14.250000
1287273;890;14.250000
1288721;891;14.250000
1290169;892;14.250000
1291617;893;14.250000
1293065;894;14.250000
1294513;895;14.250000
1295961;896;14.250000
1297409;897;14.250000
1298857;898;14.250000
1300305;899;0
1301753;900;0
1303201;901;0
1304649;902;0
1306097;903;0
1307545;904;14.250000
1308993;905;14.125000
1310441;906;14.125000
1311889;907;14.125000
1313337;908;14.125000
1314785;909;14.125000
1316233;910;14.125000
1317681;911;14.250000
1319129;912;14.250000
1320577;913;14.250000
1322025;914;14.125000
1323473;915;14.125000
1324921;916;14.125000
1326369;917;14.250000
1327817;918;14.250000
1329265;919;14.250000
1330713;920;14.250000
1332161;921;14.250000
1333609;922;14.250000
1335057;923;14.250000
1336505;924;14.250000
1337953;925;14.250000
1339401;926;14.125000
1340849;927;14.125000
1342297;928;14.125000
1343745;929;14.125000
1345193;930;14.125000
1346641;931;14.125000
1348089;932;14.250000
1349537;933;14.250000
1350985;934;14.250000
1352433;935;14.250000
1353881;936;14.250000
1355329;937;14.250000
1356777;938;14.125000
1358225;939;14.125000
1359673;940;14.125000
1361121;941;14.125000
1362569;942;14.125000
1364017;943;14.125000
1365465;944;14.250000
1366913;945;14.250000
1368361;946;14.250000
1369809;947;14.125000
1371257;948;14.125000
1372705;949;14.125000
1374153;950;14.250000
1375601;951;14.250000
1377049;952;14.250000
1378497;953;14.250000
1379945;954;14.250000
1381393;955;14.250000
1382841;956;14.250000
1384289;957;14.250000
1385737;958;14.250000
1387185;959;14.750000
1388633;960;14.750000
1390081;961;14.750000
1391529;962;14.250000
1392977;963;14.250000
1394425;964;14.250000
1395873;965;14.250000
1397321;966;14.250000
1398769;967;14.250000
1400217;968;14.125000
1401665;969;14.125000
1403113;970;14.125000
1404561;971;14.250000
1406009;972;14.250000
1407457;973;14.250000
1408905;974;14.250000
1410353;975;14.250000
1411801;976;14.250000
1413249;977;14.125000
1414697;978;14.125000
1416145;979;14.125000
1417593;980;0
1419041;981;0
1420489;982;0
1421937;983;0
1423385;984;0
1424833;985;14.250000
1426281;986;14.125000
1427729;987;14.125000
1429177;988;14.125000
1430625;989;14.125000
1432073;990;14.125000
1433521;991;14.125000
1434969;992;14.250000
1436417;993;14.250000
1437865;994;14.250000
1439313;995;14.250000
1440761;996;14.250000
1442209;997;14.250000
1443657;998;14.125000
1445105;999;14.125000
1446553;1000;14.125000
1448001;1001;14.250000
1449449;1002;14.250000
1450897;1003;14.250000
1452345;1004;14.125000
1453793;1005;14.125000
1455241;1006;14.125000
1456689;1007;14.125000
1458137;1008;14.125000
1459585;1009;14.125000
1461033;1010;14.250000
1462481;1011;14.250000
1463929;1012;14.250000
1465377;1013;14.125000
1466825;1014;14.125000
1468273;1015;14.125000
1469721;1016;14.250000
1471169;1017;14.250000
1472617;1018;14.250000
1474065;1019;14.125000
1475513;1020;14.125000
1476961;1021;14.125000
1478409;1022;14.250000
1479857;1023;14.250000
1481305;1024;14.250000
1482753;1025;14.250000
1484201;1026;14.250000
1485649;1027;14.250000
1487097;1028;14.250000
1488545;1029;14.250000
1489993;1030;14.250000
1491441;1031;14.250000
1492889;1032;14.250000
1494337;1033;14.250000
1495785;1034;14.125000
1497233;1035;14.125000
1498681;1036;14.125000
1500129;1037;14.125000
1501577;1038;14.125000
1503025;1039;14.125000
1504473;1040;14.250000
1505921;1041;14.250000
1507369;1042;14.250000
1508817;1043;14.250000
1510265;1044;14.250000
1511713;1045;14.250000
1513161;1046;14.250000
1514609;1047;14.250000
1516057;1048;14.250000
1517505;1049;14.125000
1518953;1050;14.125000
1520401;1051;14.125000
1521849;1052;14.250000
1523297;1053;14.250000
1524745;1054;14.250000
1526193;1055;0
1527641;1056;0
1529089;1057;0
1530537;1058;0
1531985;1059;0
1533433;1060;14.125000
1534881;1061;14.250000
1536329;1062;14.250000
1537777;1063;14.250000
1539225;1064;14.250000
1540673;1065;14.250000
1542121;1066;14.250000
1543569;1067;14.250000
1545017;1068;14.250000
1546465;1069;14.250000
1547913;1070;14.125000
1549361;1071;14.125000
1550809;1072;14.125000
1552257;1073;14.250000
1553705;1074;14.250000
1555153;1075;14.250000
1556601;1076;14.250000
1558049;1077;14.250000
1559497;1078;14.250000
1560945;1079;14.250000
1562393;1080;14.250000
1563841;1081;14.250000
1565289;1082;14.250000
1566737;1083;14.250000
1568185;1084;14.250000
1569633;1085;14.250000
1571081;1086;14.250000
1572529;1087;14.250000
1573977;1088;14.250000
1575425;1089;14.250000
1576873;1090;14.250000
1578321;1091;14.125000
1579769;1092;14.125000
1581217;1093;14.125000
1582665;1094;14.125000
1584113;1095;14.125000
1585561;1096;14.125000
1587009;1097;14.125000
1588457;1098;14.125000
1589905;1099;14.125000
1591353;1100;14.250000
1592801;1101;14.250000
1594249;1102;14.250000
1595697;1103;14.250000
1597145;1104;14.250000
1598593;1105;14.250000
1600041;1106;14.250000
1601489;1107;14.250000
1602937;1108;14.250000
1604385;1109;14.125000
1605833;1110;14.125000
1607281;1111;14.125000
1608729;1112;14.250000
1610177;1113;14.250000
1611625;1114;14.250000
1613073;1115;14.250000
1614521;1116;14.250000
1615969;1117;14.250000
1617417;1118;14.125000
1618865;1119;14.125000
1620313;1120;14.125000
1621761;1121;14.250000
1623209;1122;14.250000
1624657;1123;14.250000
1626105;1124;14.125000
1627553;1125;14.125000
1629001;1126;14.125000
1630449;1127;14.250000
1631897;1128;14.250000
1633345;1129;14.250000
1634793;1130;14.125000
1636241;1131;14.125000
1637689;1132;14.125000
1639137;1133;14.250000
1640585;1134;14.250000
1642033;1135;14.250000
1643481;1136;0
1644929;1137;0
1646377;1138;0
1647825;1139;0
1649273;1140;0
1650721;1141;14.125000
1652169;1142;14.250000
1653617;1143;14.250000
1655065;1144;14.250000
1656513;1145;14.375000
1657961;1146;14.375000
1659409;1147;14.375000
1660857;1148;14.125000
1662305;1149;14.125000
1663753;1150;14.125000
1665201;1151;14.125000
1666649;1152;14.125000
1668097;1153;14.125000
1669545;1154;14.250000
1670993;1155;14.250000
1672441;1156;14.250000
1673889;1157;14.250000
1675337;1158;14.250000
1676785;1159;14.250000
1678233;1160;14.250000
1679681;1161;14.250000
1681129;1162;14.250000
1682577;1163;14.125000
1684025;1164;14.125000
1685473;1165;14.125000
1686921;1166;14.250000
1688369;1167;14.250000
1689817;1168;14.250000
1691265;1169;14.125000
1692713;1170;14.125000
1694161;1171;14.125000
1695609;1172;14.250000
1697057;1173;14.250000
1698505;1174;14.250000
1699953;1175;14.250000
1701401;1176;14.250000
1702849;1177;14.250000
1704297;1178;14.125000
1705745;1179;14.125000
1707193;1180;14.125000
1708641;1181;14.125000
1710089;1182;14.125000
1711537;1183;14.125000
1712985;1184;14.125000
1714433;1185;14.125000
1715881;1186;14.125000
1717329;1187;14.125000
1718777;1188;14.125000
1720225;1189;14.125000
1721673;1190;14.250000
1723121;1191;14.250000
1724569;1192;14.250000
1726017;1193;14.250000
1727465;1194;14.250000
1728913;1195;14.250000
1730361;1196;14.125000
1731809;1197;14.125000
1733257;1198;14.125000
1734705;1199;14.250000
1736153;1200;14.250000
1737601;1201;14.250000
1739049;1202;14.250000
1740497;1203;14.250000
1741945;1204;14.250000
1743393;1205;14.125000
1744841;1206;14.125000
1746289;1207;14.125000
1747737;1208;14.125000
1749185;1209;14.125000
1750633;1210;14.125000
1752081;1211;14.125000
1753529;1212;14.125000
1754977;1213;14.125000
1756425;1214;14.250000
1757873;1215;14.250000
1759321;1216;14.250000
1760769;1217;0
1762217;1218;0
1763665;1219;0
1765113;1220;0
1766561;1221;0
1768009;1222;14.125000
1769457;1223;14.250000
1770905;1224;14.250000
1772353;1225;14.250000
1773801;1226;14.250000
